absentCount,abstainCount,againstCount,forCount,id,result,resultType,subject,voteCount,voteDate,names
87,0,0,355,104354,Принято,количественное,(за основу) О проекте порядка работы Государственной Думы на 20 июня 2018 года,355,06.20.2018,О проекте порядка работы Государственной Думы на 20 июня 2018 года
64,0,0,378,104355,Принято,количественное,(в целом) О проекте порядка работы Государственной Думы на 20 июня 2018 года,378,06.20.2018,О проекте порядка работы Государственной Думы на 20 июня 2018 года
120,0,0,322,104356,Принято,количественное,"* (третье чтение) О проекте федерального закона № 175593-7 ""О внесении изменений в Федеральный закон ""О государственной информационной системе топливно-энергетического комплекса"" (в части уточнения определения интеграционного сегмента ГИС ТЭК и дополнения перечня видов информации, подлежащей включению в ГИС ТЭК)",322,06.20.2018,О проекте федерального закона № 175593-7
60,0,0,382,104357,Принято,количественное,"(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 73983-5 ""О внесении изменений в статью 72 Уголовного кодекса Российской Федерации"" (по вопросу зачета времени содержания лица под стражей до вступления приговора суда в законную силу в срок отбывания наказания в виде лишения свободы)",382,06.20.2018,О проекте федерального закона № 73983-5
84,1,0,357,104358,Принято,количественное,"(2 чтение таб. 2 отклонённые поправки, кроме поправки 14) О проекте федерального закона № 73983-5 ""О внесении изменений в статью 72 Уголовного кодекса Российской Федерации"" (по вопросу зачета времени содержания лица под стражей до вступления приговора суда в законную силу в срок отбывания наказания в виде лишения свободы)",358,06.20.2018,О проекте федерального закона № 73983-5
396,1,2,43,104359,Не принято,количественное,"(2 чтение таб. 2 отклонённые поправки, поправка №14) О проекте федерального закона № 73983-5 ""О внесении изменений в статью 72 Уголовного кодекса Российской Федерации"" (по вопросу зачета времени содержания лица под стражей до вступления приговора суда в законную силу в срок отбывания наказания в виде лишения свободы)",46,06.20.2018,О проекте федерального закона № 73983-5
47,0,0,395,104360,Принято,количественное,"(2 чтение) О проекте федерального закона № 73983-5 ""О внесении изменений в статью 72 Уголовного кодекса Российской Федерации"" (по вопросу зачета времени содержания лица под стражей до вступления приговора суда в законную силу в срок отбывания наказания в виде лишения свободы)",395,06.20.2018,О проекте федерального закона № 73983-5
58,0,0,384,104362,Принято,количественное,".О проекте постановления Государственной Думы № 489567-7 ""Об отчете о работе Счетной палаты Российской Федерации в 2017 году""",384,06.20.2018,О проекте постановления Государственной Думы № 489567-7
117,0,0,325,104363,Принято,количественное,"* (2 чтение таб. 1 принятые поправки) О проекте федерального закона № 322981-7 ""О внесении изменений в Федеральный закон ""Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации"" и отдельные законодательные акты Российской Федерации""",325,06.20.2018,О проекте федерального закона № 322981-7
141,2,0,299,104364,Принято,количественное,"* (2 чтение таб. 2 отклонённые поправки) О проекте федерального закона № 322981-7 ""О внесении изменений в Федеральный закон ""Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации"" и отдельные законодательные акты Российской Федерации""",301,06.20.2018,О проекте федерального закона № 322981-7
75,0,0,367,104365,Принято,количественное,"* (2 чтение) О проекте федерального закона № 322981-7 ""О внесении изменений в Федеральный закон ""Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации"" и отдельные законодательные акты Российской Федерации""",367,06.20.2018,О проекте федерального закона № 322981-7
117,0,0,325,104366,Принято,количественное,"* (2 чтение таб. 1 принятые поправки) О проекте федерального закона № 279800-7 ""О внесении изменений в Федеральный закон ""Об электроэнергетике"" в части регулирования отношений при присоединении электроэнергетической системы к другой электроэнергетической системе""",325,06.20.2018,О проекте федерального закона № 279800-7
95,0,0,347,104367,Принято,количественное,"* (2 чтение) О проекте федерального закона № 279800-7 ""О внесении изменений в Федеральный закон ""Об электроэнергетике"" в части регулирования отношений при присоединении электроэнергетической системы к другой электроэнергетической системе""",347,06.20.2018,О проекте федерального закона № 279800-7
69,0,0,373,104368,Принято,количественное,"* (первое чтение) О проекте федерального закона № 481297-7 ""О внесении изменений в статьи 210 и 214(1) Налогового кодекса Российской Федерации"" (в части порядка определения налоговой базы по налогу на доходы физических лиц при реализации (погашении) облигаций)",373,06.20.2018,О проекте федерального закона № 481297-7
120,1,19,302,104369,Принято,количественное,"О проекте федерального закона № 470253-7 ""О внесении изменений в Бюджетный кодекс Российской Федерации"" (о ратификации договоров о государственных внешних заимствованиях Российской Федерации)",322,06.20.2018,О проекте федерального закона № 470253-7
66,1,0,375,104274,Принято,количественное,(за основу) * О проекте порядка работы Государственной Думы на 19 июня 2018 года,376,06.19.2018,О проекте порядка работы Государственной Думы на 19 июня 2018 года
36,0,0,406,104275,Принято,количественное,(. в целом) * О проекте порядка работы Государственной Думы на 19 июня 2018 года,406,06.19.2018,О проекте порядка работы Государственной Думы на 19 июня 2018 года
95,1,26,320,104276,Принято,количественное,"*(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",347,06.19.2018,О проекте федерального закона № 476242-7
137,0,0,305,104277,Принято,количественное,"*(2 чтение таб. 2 отклонённые поправки) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",305,06.19.2018,О проекте федерального закона № 476242-7
340,1,7,94,104278,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 26) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",102,06.19.2018,О проекте федерального закона № 476242-7
357,0,0,85,104279,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 27) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",85,06.19.2018,О проекте федерального закона № 476242-7
353,0,0,89,104280,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 38) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",89,06.19.2018,О проекте федерального закона № 476242-7
354,0,0,88,104281,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 2) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",88,06.19.2018,О проекте федерального закона № 476242-7
353,1,0,88,104282,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 36) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",89,06.19.2018,О проекте федерального закона № 476242-7
351,0,0,91,104283,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 37) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",91,06.19.2018,О проекте федерального закона № 476242-7
345,1,3,93,104284,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 31) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",97,06.19.2018,О проекте федерального закона № 476242-7
